version_document;date;page;auteur;texte_surligné;commentaire;Statut;Résolution
0.1;29/05/26;4;Lea DESOUTTER;Les fiches indicateurs présentées dans ce catalogue sont destinées à fournir une description détaillée de chaque indicateur de suivi et de comparaison des captages AEP. Chaque fiche comprend une identi‐ fication claire de l’indicateur, des sections détaillées sur les méthodes de calcul, les modalités de visua‐ lisation, ainsi que les sources de données qui lui sont associées.;"Repenser la structuration des fiches :  
-Mettre des titres et sous titre 
-Pas convaincue de la pertinence du regroupement des informations entre elles  Rajouter une partie limite de l'indicateur (ex : simplifie la réalité en ne tenant pas compte par exemple du type de traitement, type d'agriculture, type d'ICPE, etc)";Intégré v0.2;"Refonte de la maquette des fiches avec intégration systématique d'une section ""Limites et incertitudes""."
0.1;29/05/26;5;Lea DESOUTTER;valeur élevée est;ca c'est vrai pour les valeurs quantitative, mais quand c'est qualitatif (présence/absence) on donne quoi comme définition ?;Intégré v0.2;"Ajustement de la définition : 
• Pour une donnée quantitative : indique si une valeur élevée est bénéfique (Positif, ex:
capacité de production) ou préjudiciable (Négatif, ex: surface incendiée).
• Pour une donnée qualitative : indique si l’état ou la classe de l’indicateur est perçu
comme favorable (Positif, ex: présence d’un traitement ou d’un secours) ou défavorable
(Négatif, ex: absence de protection réglementaire) pour la gestion du captage"
0.1;29/05/26;5;Lea DESOUTTER;Contraintes : Limites ou incertitudes liées à la …;Ce mot n'apparait pas dans les fiches;Intégré v0.2;"Harmonisation du vocabulaire. Le terme ""Contraintes"" a été remplacé par ""Limites de l'indicateur"" dans le modèle global."
0.1;29/05/26;5;Lea DESOUTTER;Glossaire des attributs;"plutot qu'un glossaire, prévoir une prévoir une ""fiche indicateurs modèle"" expliquant l’intérêt des parties et sous parties. Donner des exemples de support spatiale, méthode de normalisation, méthode de visualisation";En discussion;"La création d'une ""Fiche Modèle / Spécimen"" au début du catalogue serait une bonne idée en effet mais cela peut prendre du temps. A discuter si cela est prioritaire."
0.1;29/05/26;5;Lea DESOUTTER;ressource;de la donnée plutot ?;Intégré v0.2;Correction appliquée dans certain texte de présentation mais il s’agit bien de ressource numérique.
0.1;29/05/26;6;Lea DESOUTTER;Sens de l’indicateur Positif (absence = critique / plus = mieux) Définition de la criticité Faible capacité = forte criticité (vulnérable), forte capacité = faible criticité;Criticité de l’indicateur et sens d’évolution de l’indicateur : pas clair cette partie, pourrait être présenté mieux que cela. Mettre d’abord la définition, puis le sens de l’indicateur;Intégré v0.2;Inversion de l'ordre d'affichage dans la structure des fiches : 1. Définition, 2. Interprétation/Sens de l'évolution.
0.1;29/05/26;6;Lea DESOUTTER;Capacité de production Fiche indicateur n°1;Fiche indicateurs N°1 = Capacité de production (sur la meme ligne);Intégré v0.2;Ajustement de la mise en page et de la charte graphique.
0.1;29/05/26;6;Lea DESOUTTER;Quantité d’eau que la source peut fournir (référence de période sèche).;"rajouter avant cette définition le titre en orange ""Définition""";Intégré v0.2;"Application de la feuille de style  pour le sous-titre ""Définition""."
0.1;29/05/26;6;Lea DESOUTTER;Objectif;objectif : important d’harmoniser la rédaction d’une fiche à l’autre. Le but est de pouvoir comparer les captages entre eux sur une thématique précise, et toujours avec un lien avec l’enjeux eau potable ⇒ je trouve que parfois le lien avec l’enjeu eau potable est perdu;En discussion;Pertinence AEP
0.1;29/05/26;7;Lea DESOUTTER;Hydrométrie – Stations DAVAR / Bassins versants aux limnimètres;"Indiquer devant le titre suivant "" Nom de la base de données"" :";Intégré v0.2;Ajout du préfixe pour clarifier l'origine de la donnée.
0.1;29/05/26;7;Lea DESOUTTER;Synthèse échanges Stéphane du 24 avril 2026 Donnée issue DAVAR. Indicateur porté par le captage puis propagé au BV. Discussion sur agrégation multi‐captages et intégration dans analyse multicritère avec normalisation.;faire un document à part avec les remarques de Stéphane. Ne devrait pas se trouver dans la fiche indicateur;Intégré v0.2;Retrait des notes de réunion de la fiche publique. Transféré dans le document de suivi interne.
0.1;29/05/26;9;Lea DESOUTTER;Cercle proportionnel;c'est bizarre de représenter un linéaire avec un cercle.;Non intégré; Le cercle proportionnel représente l'agrégation de la donnée au centroïde ou au nœud du réseau, mais la sémiologie graphique reste à affiner avec le géomaticien.
